county_name,land_area,population,population_density_sq_mi,median_household_income,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,hhi_total_prct,hhi_lt_25k_prct,hhi_25k_to_49k_prct,hhi_50k_to_749k_prct,hhi_75k_to_999k_prct,hhi_100k_to_1490k_prct,hhi_150k_to_1999k_prct,hhi_200k_or_more_prct,race_and_ethnicity_white,race_and_ethnicity_white_prcnt,race_and_ethnicity_black,race_and_ethnicity_black_prct,race_and_ethnicity_native,race_and_ethnicity_native_prct,race_and_ethnicity_asian,race_and_ethnicity_asian_prct,race_and_ethnicity_islander,race_and_ethnicity_islander_prct,race_and_ethnicity_other,race_and_ethnicity_other_prct,race_and_ethnicity_two,race_and_ethnicity_two_prct,race_and_ethnicity_hispanic,race_and_ethnicity_hispanic_prct,age_female_0_to_9,age_female_10_to_19,age_female_20_to_29,age_female_30_to_39,age_female_40_to_49,age_female_50_to_59,age_female_60_to_69,age_female_70_plus,age_male_0_to_9,age_male_10_to_19,age_male_20_to_29,age_male_30_to_39,age_male_40_to_49,age_male_50_to_59,age_male_60_to_69,age_male_70_plus,age_female_0_to_9_prct,age_female_10_to_19_prct,age_female_20_to_29_prct,age_female_30_to_39_prct,age_female_40_to_49_prct,age_female_50_to_59_prct,age_female_60_to_69_prct,age_female_70_plus_prct,age_male_0_to_9_prct,age_male_10_to_19_prct,age_male_20_to_29_prct,age_male_30_to_39_prct,age_male_40_to_49_prct,age_male_50_to_59_prct,age_male_60_to_69_prct,age_male_70_plus_prct,median_Age,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,hh_families,hh_mc_families,hh_mc_with_own_children_under_18,hh_sp_families,hh_sp_with_own_children_under_18,hh_non_families,
Marin,1347950152,259943,499.5,115246,105432,11256,13121,11822,10462,17510,11842,29419,0.405596612,0.043301801,0.050476451,0.045479201,0.040247285,0.067360921,0.045556141,0.113174811,184960,0.711540607,5527,0.021262354,438,0.001684985,15110,0.058128128,249,0.000957902,2345,0.009021208,9787,0.037650562,41527,0.159754254,13430,15070,10446,12602,18895,21096,20013,21435,13010,16329,11765,13625,18363,19486,17522,16856,0.052,0.058,0.040,0.048,0.073,0.081,0.077,0.082,0.050,0.063,0.045,0.052,0.071,0.075,0.067,0.065,46.8,190403,0.067,0.105,0.233,0.343,0.252,66052,0.038,135786,0.037,113084,995800,105432,66052,54174,22241,11878,6387,39380,
Mariposa,3752472150,17420,12,48820,7643,1978,1919,1363,1057,798,409,119,0.438748565,0.113547646,0.110160735,0.078243398,0.060677382,0.045809414,0.02347876,0.006831228,13935,0.799942595,253,0.014523536,325,0.018656716,210,0.012055109,53,0.00304248,12,0.000688863,669,0.038404133,1963,0.112686567,688,753,848,810,931,1422,1396,1700,864,716,798,996,934,1332,1822,1410,0.039,0.043,0.049,0.046,0.053,0.082,0.080,0.098,0.050,0.041,0.046,0.057,0.054,0.076,0.105,0.081,51.7,13632,0.094,0.244,0.417,0.159,0.086,4801,0.104,7672,0.083,10411,275700,7643,4801,3703,932,1098,582,2842,
Mendocino,9081426663,87224,24.9,51416,34408,8250,8446,6412,4057,4435,1438,1370,0.394478584,0.094584059,0.096831147,0.073511877,0.046512428,0.050846097,0.016486288,0.015706686,56857,0.651850408,626,0.007176924,2938,0.03368339,1773,0.020326974,165,0.001891681,51,0.000584701,2916,0.033431166,21898,0.251054756,5424,4726,4487,5043,4988,5937,7096,6281,5184,5254,4930,5471,4823,5613,6488,5479,0.062,0.054,0.051,0.058,0.057,0.068,0.081,0.072,0.059,0.060,0.057,0.063,0.055,0.064,0.074,0.063,43.1,62005,0.135,0.25,0.371,0.156,0.088,20910,0.13,41260,0.087,40960,377500,34408,20910,14959,5113,5951,3315,13498,
Merced,5014506620,271382,140.2,53672,80008,17505,20154,14819,10185,9851,3856,3638,0.2948169,0.064503173,0.074264321,0.054605685,0.037530124,0.036299386,0.014208754,0.013405458,75037,0.276499547,7812,0.028785992,931,0.003430589,19650,0.07240716,607,0.0022367,226,0.000832774,5305,0.019548091,161814,0.596259148,20924,23202,19720,17379,15734,14260,11591,11585,22851,23540,21552,18128,16203,14705,11243,8765,0.077,0.085,0.073,0.064,0.058,0.053,0.043,0.043,0.084,0.087,0.079,0.067,0.060,0.054,0.041,0.032,31.1,160388,0.309,0.253,0.301,0.091,0.047,61049,0.172,119120,0.119,85251,252700,80008,61049,40970,19700,20079,11354,18959,
Modoc,10225096402,8907,2.3,45507,3616,915,1010,802,405,400,78,6,0.40597283,0.102728191,0.11339396,0.09004154,0.045469855,0.044908499,0.008757157,0.000673627,6920,0.776917032,136,0.01526889,372,0.041764904,99,0.011114853,9,0.001010441,3,0.000336814,77,0.008644886,1291,0.14494218,479,373,406,429,470,614,741,769,495,547,394,446,526,473,981,764,0.054,0.042,0.046,0.048,0.053,0.069,0.083,0.086,0.056,0.061,0.044,0.050,0.059,0.053,0.110,0.086,47.8,6740,0.152,0.33,0.366,0.095,0.057,2131,0.109,3235,0.086,5258,140600,3616,2131,1700,426,431,260,1485,
Mono,7896838483,14310,4.7,62260,4765,556,1069,1210,880,453,316,281,0.332983927,0.038853948,0.074703005,0.084556254,0.061495458,0.031656184,0.02208246,0.019636618,9308,0.650454228,59,0.004122991,242,0.016911251,363,0.025366876,0,0,96,0.006708595,377,0.026345213,3865,0.270090846,551,905,631,1194,784,1153,860,598,725,832,1308,1409,609,1215,1003,533,0.039,0.063,0.044,0.083,0.055,0.081,0.060,0.042,0.051,0.058,0.091,0.098,0.043,0.085,0.070,0.037,37.7,9927,0.114,0.242,0.355,0.21,0.078,2503,0.049,8619,0.034,14116,312500,4765,2503,2061,734,442,222,2262,
Monterey,8499616876,433410,132.1,71015,127155,17636,25214,24137,18105,20970,9789,11304,0.293382709,0.040691262,0.058175861,0.055690916,0.041773379,0.048383747,0.022586004,0.026081539,129738,0.299342424,10737,0.024773309,819,0.001889666,23348,0.053870469,1982,0.004573037,561,0.001294386,11931,0.027528207,254294,0.586728502,30718,31451,29475,28073,25025,25343,21282,21042,32468,32061,32921,32408,28334,25158,21172,16479,0.071,0.073,0.068,0.065,0.058,0.058,0.049,0.049,0.075,0.074,0.076,0.075,0.065,0.058,0.049,0.038,34.4,275668,0.285,0.203,0.265,0.148,0.099,91842,0.096,197404,0.049,141820,516600,127155,91842,66738,29946,25104,12758,35313,
Napa,1937986794,139623,186.6,88596,48705,5507,7837,7278,6397,9073,5305,7308,0.348832212,0.039441926,0.056129721,0.052126082,0.045816234,0.06498213,0.037995173,0.052340947,73210,0.524340546,2780,0.01991076,407,0.002914993,11196,0.080187362,284,0.002034049,526,0.003767288,3676,0.026328041,47544,0.340516964,6930,8950,8365,8558,9020,9727,8926,9544,7634,9179,8811,9034,8958,9531,8440,8016,0.050,0.064,0.060,0.061,0.065,0.070,0.064,0.068,0.055,0.066,0.063,0.065,0.064,0.068,0.060,0.057,41.3,98223,0.145,0.178,0.32,0.232,0.125,33113,0.051,74472,0.045,55602,635900,48705,33113,25822,10293,7291,3406,15592,
Nevada,2480587338,99244,103.6,66096,40855,7086,8972,6523,5292,6441,2931,3610,0.411662166,0.071399782,0.09040345,0.065726895,0.053323123,0.064900649,0.029533272,0.036374995,84513,0.851567853,478,0.004816412,413,0.004161461,1043,0.010509451,124,0.001249446,98,0.000987465,3202,0.032263915,9373,0.094443997,4168,5051,4084,5302,5130,7721,9809,9032,4913,4895,4671,5474,5485,6874,8604,8031,0.042,0.051,0.041,0.053,0.052,0.078,0.099,0.091,0.050,0.049,0.047,0.055,0.055,0.069,0.087,0.081,50.5,76000,0.056,0.184,0.388,0.242,0.13,26148,0.066,46192,0.046,53989,431000,40855,26148,20836,5530,5312,2838,14707,
Orange,2053367783,3168044,3996,90234,1037492,130036,153856,151559,133015,192801,115175,161050,0.327486613,0.041046147,0.048564982,0.047839929,0.041986475,0.060858056,0.03635524,0.050835784,1285855,0.405882936,51269,0.016183172,6116,0.001930529,642948,0.202947939,8928,0.002818143,6032,0.001904014,88170,0.027831053,1078726,0.340502215,182929,201756,220994,209954,219279,219878,172497,176925,191278,210267,232007,213415,211390,217015,154455,134005,0.058,0.064,0.070,0.066,0.069,0.069,0.054,0.056,0.060,0.066,0.073,0.067,0.067,0.069,0.049,0.042,38.1,2168424,0.145,0.172,0.277,0.26,0.145,744011,0.074,1669327,0.046,1100449,679300,1037492,744011,569260,246655,174751,73946,293481,
