county_name,land_area,population,population_density_sq_mi,median_household_income,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_white,race_and_ethnicity_white_prcnt,race_and_ethnicity_black,race_and_ethnicity_black_prct,race_and_ethnicity_native,race_and_ethnicity_native_prct,race_and_ethnicity_asian,race_and_ethnicity_asian_prct,race_and_ethnicity_islander,race_and_ethnicity_islander_prct,race_and_ethnicity_other,race_and_ethnicity_other_prct,race_and_ethnicity_two,race_and_ethnicity_two_prct,race_and_ethnicity_hispanic,race_and_ethnicity_hispanic_prct,age_female_0_to_9,age_female_10_to_19,age_female_20_to_29,age_female_30_to_39,age_female_40_to_49,age_female_50_to_59,age_female_60_to_69,age_female_70_plus,age_male_0_to_9,age_male_10_to_19,age_male_20_to_29,age_male_30_to_39,age_male_40_to_49,age_male_50_to_59,age_male_60_to_69,age_male_70_plus,median_age,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,hh_families,hh_mc_families,hh_mc_with_own_children_under_18,hh_sp_families,hh_sp_with_own_children_under_18,hh_non_families
Mariposa,"3,752,472,150","17,420",12.0,"$48,820","7,643","1,978","1,919","1,363","1,057",798,409,119,"13,935",0.80,253,0.01,325,0.02,210,0.01,53,0.00,12,0.00,669,0.04,"1,963",0.11,688,753,848,810,931,"1,422","1,396","1,700",864,716,798,996,934,"1,332","1,822","1,410",51.7,"13,632",9.4%,24.4%,41.7%,15.9%,8.6%,"4,801",10.4%,"7,672",8.3%,"10,411","$275,700","7,643","4,801","3,703",932,"1,098",582,"2,842"
Mendocino,"9,081,426,663","87,224",24.9,"$51,416","34,408","8,250","8,446","6,412","4,057","4,435","1,438","1,370","56,857",0.65,626,0.01,"2,938",0.03,"1,773",0.02,165,0.00,51,0.00,"2,916",0.03,"21,898",0.25,"5,424","4,726","4,487","5,043","4,988","5,937","7,096","6,281","5,184","5,254","4,930","5,471","4,823","5,613","6,488","5,479",43.1,"62,005",13.5%,25.0%,37.1%,15.6%,8.8%,"20,910",13.0%,"41,260",8.7%,"40,960","$377,500","34,408","20,910","14,959","5,113","5,951","3,315","13,498"
Merced,"5,014,506,620","271,382",140.2,"$53,672","80,008","17,505","20,154","14,819","10,185","9,851","3,856","3,638","75,037",0.28,"7,812",0.03,931,0.00,"19,650",0.07,607,0.00,226,0.00,"5,305",0.02,"161,814",0.60,"20,924","23,202","19,720","17,379","15,734","14,260","11,591","11,585","22,851","23,540","21,552","18,128","16,203","14,705","11,243","8,765",31.1,"160,388",30.9%,25.3%,30.1%,9.1%,4.7%,"61,049",17.2%,"119,120",11.9%,"85,251","$252,700","80,008","61,049","40,970","19,700","20,079","11,354","18,959"
Modoc,"10,225,096,402","8,907",2.3,"$45,507","3,616",915,"1,010",802,405,400,78,6,"6,920",0.78,136,0.02,372,0.04,99,0.01,9,0.00,3,0.00,77,0.01,"1,291",0.14,479,373,406,429,470,614,741,769,495,547,394,446,526,473,981,764,47.8,"6,740",15.2%,33.0%,36.6%,9.5%,5.7%,"2,131",10.9%,"3,235",8.6%,"5,258","$140,600","3,616","2,131","1,700",426,431,260,"1,485"
Mono,"7,896,838,483","14,310",4.7,"$62,260","4,765",556,"1,069","1,210",880,453,316,281,"9,308",0.65,59,0.00,242,0.02,363,0.03,0,0.00,96,0.01,377,0.03,"3,865",0.27,551,905,631,"1,194",784,"1,153",860,598,725,832,"1,308","1,409",609,"1,215","1,003",533,37.7,"9,927",11.4%,24.2%,35.5%,21.0%,7.8%,"2,503",4.9%,"8,619",3.4%,"14,116","$312,500","4,765","2,503","2,061",734,442,222,"2,262"
Monterey,"8,499,616,876","433,410",132.1,"$71,015","127,155","17,636","25,214","24,137","18,105","20,970","9,789","11,304","129,738",0.30,"10,737",0.02,819,0.00,"23,348",0.05,"1,982",0.00,561,0.00,"11,931",0.03,"254,294",0.59,"30,718","31,451","29,475","28,073","25,025","25,343","21,282","21,042","32,468","32,061","32,921","32,408","28,334","25,158","21,172","16,479",34.4,"275,668",28.5%,20.3%,26.5%,14.8%,9.9%,"91,842",9.6%,"197,404",4.9%,"141,820","$516,600","127,155","91,842","66,738","29,946","25,104","12,758","35,313"
Napa,"1,937,986,794","139,623",186.6,"$88,596","48,705","5,507","7,837","7,278","6,397","9,073","5,305","7,308","73,210",0.52,"2,780",0.02,407,0.00,"11,196",0.08,284,0.00,526,0.00,"3,676",0.03,"47,544",0.34,"6,930","8,950","8,365","8,558","9,020","9,727","8,926","9,544","7,634","9,179","8,811","9,034","8,958","9,531","8,440","8,016",41.3,"98,223",14.5%,17.8%,32.0%,23.2%,12.5%,"33,113",5.1%,"74,472",4.5%,"55,602","$635,900","48,705","33,113","25,822","10,293","7,291","3,406","15,592"
Nevada,"2,480,587,338","99,244",103.6,"$66,096","40,855","7,086","8,972","6,523","5,292","6,441","2,931","3,610","84,513",0.85,478,0.00,413,0.00,"1,043",0.01,124,0.00,98,0.00,"3,202",0.03,"9,373",0.09,"4,168","5,051","4,084","5,302","5,130","7,721","9,809","9,032","4,913","4,895","4,671","5,474","5,485","6,874","8,604","8,031",50.5,"76,000",5.6%,18.4%,38.8%,24.2%,13.0%,"26,148",6.6%,"46,192",4.6%,"53,989","$431,000","40,855","26,148","20,836","5,530","5,312","2,838","14,707"
Orange,"2,053,367,783","3,168,044","3,996.0","$90,234","1,037,492","130,036","153,856","151,559","133,015","192,801","115,175","161,050","1,285,855",0.41,"51,269",0.02,"6,116",0.00,"642,948",0.20,"8,928",0.00,"6,032",0.00,"88,170",0.03,"1,078,726",0.34,"182,929","201,756","220,994","209,954","219,279","219,878","172,497","176,925","191,278","210,267","232,007","213,415","211,390","217,015","154,455","134,005",38.1,"2,168,424",14.5%,17.2%,27.7%,26.0%,14.5%,"744,011",7.4%,"1,669,327",4.6%,"1,100,449","$679,300","1,037,492","744,011","569,260","246,655","174,751","73,946","293,481"
Placer,"3,644,306,246","385,512",274.0,"$89,691","142,855","18,223","20,880","21,324","18,392","28,643","16,358","19,035","280,105",0.73,"6,361",0.02,"1,373",0.00,"28,573",0.07,566,0.00,391,0.00,"14,174",0.04,"53,969",0.14,"22,149","24,291","19,705","24,053","25,660","27,142","25,477","28,873","23,063","25,503","20,771","22,600","25,685","25,347","22,903","22,290",42.0,"270,397",5.5%,18.0%,36.8%,26.4%,13.3%,"100,416",5.5%,"186,227",4.2%,"164,176","$471,500","142,855","100,416","82,269","33,423","18,147","9,009","42,439"
